,District,Latitude,longitude
0,Bibirevo,55.894879,37.607745
1,Nagatinskij Zaton,55.685274,37.700658
2,Mitino,55.84537,37.365828
3,Basmannoe,55.766537,37.65752
4,Koptevo,55.832515,37.529043
5,Kuncevo,55.74261,37.398482
6,Zapadnoe Degunino,55.872339,37.519162
7,Lefortovo,55.753635,37.704817
8,Kuz'minki,55.69864,37.773547
9,Nagornoe,55.903302,37.629628
10,Gol'janovo,55.824162,37.79613
11,Vnukovo,55.608475,37.2924
12,Juzhnoe Tushino,55.842868,37.429699
13,Severnoe Tushino,55.861641,37.42827
14,Chertanovo Central'noe,55.61388,37.604098
15,Fili Davydkovo,55.727136,37.469359
16,Novo-Peredelkino,55.646081,37.357169
17,Jaroslavskoe,55.866394,37.703694
18,Strogino,55.803783,37.402695
19,Hovrino,55.869041,37.489491
20,Moskvorech'e-Saburovo,55.642692,37.671139
21,Staroe Krjukovo,55.980895,37.199056
22,Caricyno,55.621541,37.668848
23,Veshnjaki,55.730771,37.815184
24,Preobrazhenskoe,55.676494,37.898116
25,Kon'kovo,55.643414,37.530588
26,Brateevo,55.633434,37.765058
27,Vostochnoe Izmajlovo,55.795818,37.821804
28,Vyhino-Zhulebino,55.696357,37.824553
29,Novogireevo,55.75166,37.817169
30,Juzhnoe Butovo,55.542396,37.531523
31,Severnoe Medvedkovo,55.88823,37.655023
32,Rostokino,55.834421,37.661266
33,Orehovo-Borisovo Severnoe,55.618278,37.704817
34,Ochakovo-Matveevskoe,55.689649,37.448554
35,Taganskoe,55.739747,37.664231
36,Dmitrovskoe,55.87593,37.547719
37,Orehovo-Borisovo Juzhnoe,55.604264,37.733132
38,Teplyj Stan,55.61873,37.505912
39,Babushkinskoe,55.862353,37.706425
40,Pokrovskoe Streshnevo,55.822094,37.476393
41,Filevskij Park,55.748255,37.48375
42,Troparevo-Nikulino,55.660318,37.468488
43,Severnoe Butovo,55.568914,37.570519
44,Hamovniki,55.729077,37.574813
45,Dorogomilovo,55.740436,37.553163
46,Timirjazevskoe,55.82092,37.56026
47,Lianozovo,55.900668,37.568479
48,Pechatniki,55.685158,37.723807
49,Krjukovo,55.099011,37.176122
50,Jasenevo,55.606182,37.5334
51,Chertanovo Severnoe,55.636412,37.594917
52,Silino,55.999007,37.168244
53,Ivanovskoe,55.769564,37.825775
54,Golovinskoe,55.83938,37.492976
55,Novokosino,55.740167,37.861725
56,Nagatino-Sadovniki,55.671422,37.64171
57,Birjulevo Vostochnoe,55.594585,37.678649
58,Severnoe Izmajlovo,55.806843,37.805221
59,Sokolinaja Gora,55.769914,37.745385
60,Vostochnoe Degunino,55.884277,37.558841
61,Prospekt Vernadskogo,55.681422,37.514904
62,Savelki,55.989915,37.238016
63,Krylatskoe,55.756842,37.408139
64,Perovo,55.751994,37.767456
65,Horoshevo-Mnevniki,55.777707,37.492078
66,Kapotnja,55.63784,37.799724
67,Horoshevskoe,55.777469,37.526636
68,Marfino,56.074117,37.55672
69,Chertanovo Juzhnoe,55.591889,37.600361
70,Birjulevo Zapadnoe,55.586944,37.63765
71,Sviblovo,55.851839,37.647711
72,Alekseevskoe,55.8078,37.638737
73,Kotlovka,55.665644,37.581891
74,Zjuzino,55.648783,37.586149
75,Ostankinskoe,55.811032,37.624337
76,Metrogorodok,55.823338,37.756739
77,Juzhnoe Medvedkovo,55.870329,37.636491
78,Jakimanka,55.730826,37.607565
79,Mozhajskoe,55.718349,37.415083
80,Levoberezhnoe,55.873865,37.471542
81,Mar'ina Roshha,55.793718,37.616162
82,Zamoskvorech'e,55.733609,37.633715
83,Altuf'evskoe,55.878238,37.586482
84,Ramenki,55.707152,37.51379
85,Zjablikovo,55.612329,37.745205
86,Poselenie Moskovskij,55.608404,37.368901
87,Poselenie Pervomajskoe,55.519723,37.218334
88,Poselenie Desjonovskoe,55.499571,37.36661
89,Poselenie Voskresenskoe,55.517495,37.442572
90,Poselenie Mosrentgen,55.621074,37.473797
91,Troickij okrug,55.355771,37.14699
92,Poselenie Shherbinka,55.507525,37.567653
93,Poselenie Filimonkovskoe,55.570014,37.322368
94,Poselenie Vnukovskoe,55.6335,37.290298
95,Poselenie Marushkinskoe,55.59516,37.208273
96,Poselenie Shhapovskoe,55.391631,37.380848
97,Poselenie Rjazanovskoe,55.482373,37.495707
98,Poselenie Kokoshkino,55.600165,37.169843
99,Poselenie Krasnopahorskoe,55.421496,37.270661
100,Poselenie Novofedorovskoe,55.42564,36.931879
101,Poselenie Voronovskoe,55.323848,37.123122
102,Poselenie Klenovskoe,55.314208,37.326743
103,Poselenie Rogovskoe,55.220038,37.054733
104,Poselenie Kievskij,55.394878,36.88346
105,Molzhaninovskoe,55.9366,37.385367
106,Poselenie Mihajlovo-Jarcevskoe,55.397552,37.139687
107,Kosino-Uhtomskoe,55.717061,37.86345
108,Obruchevskoe,55.660917,37.518479
109,Vojkovskoe,55.827247,37.497342
110,Beskudnikovskoe,55.873834,37.547836
111,Juzhnoportovoe,55.703916,37.702706
112,Savelovskoe,55.80275,37.587191
113,Losinoostrovskoe,55.826706,37.72095
114,Tekstil'shhiki,55.708917,37.734371
115,Nizhegorodskoe,55.729628,37.723192
116,Sokol'niki,55.789198,37.6797
117,Mar'ino,55.549093,37.322844
118,Otradnoe,55.863207,37.604762
119,Bogorodskoe,55.804182,37.684164
120,Ljublino,55.675682,37.76177
121,Danilovskoe,55.709217,37.640596
122,Donskoe,55.697529,37.617411
123,Sokol,55.804805,37.515461
124,Kurkino,55.891239,37.389661
125,Izmajlovo,55.788409,37.743031
126,Rjazanskij,55.719409,37.780904
127,Ajeroport,55.803089,37.542484
128,Akademicheskoe,55.687761,37.573447
129,Shhukino,55.80059,37.473519
130,Nekrasovka,55.68363,37.925398
131,Cheremushki,55.664649,37.561347
132,Krasnosel'skoe,55.784155,37.664264
133,Tverskoe,55.763923,37.606379
134,Butyrskoe,55.813668,37.588772
135,Matushkino,56.005103,37.200116
136,Lomonosovskoe,55.69729,37.529268
137,Gagarinskoe,55.744703,37.594522
138,Meshhanskoe,55.776026,37.627616
139,Severnoe,55.933267,37.551762
140,Begovoe,55.780304,37.558679
141,Arbat,55.749496,37.59153
142,Poselenie Sosenskoe,55.57833,37.465892
143,Vostochnoe,55.78771,37.775631
144,Presnenskoe,55.764006,37.562874
145,Solncevo,55.645918,37.40168
